Report file after 4000000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 1: @[\u_and_G0_18_d1/N2(1)] ==> [\share0_in[50](1), \share1_in[18](1), \rand_bit_share0[10](1)] -log10(p) = 3.22959 --> OKAY
Cycle 2: @[\u_and_G0_18_d1/N2(2)] ==> [\share0_in[50](2), \share1_in[18](2), \rand_bit_share0[10](2), \share0_in[50](1), \share1_in[18](1), \rand_bit_share0[10](1)] -log10(p) = 3.22959 --> OKAY
Cycle 3: @[\u_and_G0_18_d1/N2(3)] ==> [\share0_in[50](3), \share1_in[18](3), \rand_bit_share0[10](3), \share0_in[50](2), \share1_in[18](2), \rand_bit_share0[10](2)] -log10(p) = 3.22959 --> OKAY
Cycle 4: @[\u_and_G0_18_d1/N2(4)] ==> [\share0_in[50](4), \share1_in[18](4), \rand_bit_share0[10](4), \share0_in[50](3), \share1_in[18](3), \rand_bit_share0[10](3)] -log10(p) = 3.22959 --> OKAY
Cycle 5: @[\u_and_G0_18_d1/N2(5)] ==> [\share0_in[50](5), \share1_in[18](5), \rand_bit_share0[10](5), \share0_in[50](4), \share1_in[18](4), \rand_bit_share0[10](4)] -log10(p) = 3.22959 --> OKAY
Cycle 6: @[\u_and_G0_18_d1/N2(6)] ==> [\share0_in[50](6), \share1_in[18](6), \rand_bit_share0[10](6), \share0_in[50](5), \share1_in[18](5), \rand_bit_share0[10](5)] -log10(p) = 3.22959 --> OKAY
Cycle 7: @[\u_and_G0_18_d1/N2(7)] ==> [\share0_in[50](7), \share1_in[18](7), \rand_bit_share0[10](7), \share0_in[50](6), \share1_in[18](6), \rand_bit_share0[10](6)] -log10(p) = 3.22959 --> OKAY
Cycle 8: @[\u_and_G0_18_d1/N2(8)] ==> [\share0_in[50](8), \share1_in[18](8), \rand_bit_share0[10](8), \share0_in[50](7), \share1_in[18](7), \rand_bit_share0[10](7)] -log10(p) = 3.22959 --> OKAY
Cycle 9: @[\u_and_G0_18_d1/N2(9)] ==> [\share0_in[50](9), \share1_in[18](9), \rand_bit_share0[10](9), \share0_in[50](8), \share1_in[18](8), \rand_bit_share0[10](8)] -log10(p) = 3.22959 --> OKAY
Cycle 10: @[\u_and_G0_18_d1/N2(10)] ==> [\share0_in[50](10), \share1_in[18](10), \rand_bit_share0[10](10), \share0_in[50](9), \share1_in[18](9), \rand_bit_share0[10](9)] -log10(p) = 3.22959 --> OKAY
Cycle 11: @[\u_and_G0_18_d1/N2(11)] ==> [\share0_in[50](11), \share1_in[18](11), \rand_bit_share0[10](11), \share0_in[50](10), \share1_in[18](10), \rand_bit_share0[10](10)] -log10(p) = 3.22959 --> OKAY
Cycle 12: @[\u_and_G0_18_d1/N2(12)] ==> [\share0_in[50](12), \share1_in[18](12), \rand_bit_share0[10](12), \share0_in[50](11), \share1_in[18](11), \rand_bit_share0[10](11)] -log10(p) = 3.22959 --> OKAY
Cycle 13: @[\u_and_G0_18_d1/N2(13)] ==> [\share0_in[50](13), \share1_in[18](13), \rand_bit_share0[10](13), \share0_in[50](12), \share1_in[18](12), \rand_bit_share0[10](12)] -log10(p) = 3.22959 --> OKAY
Cycle 14: @[\u_and_G0_18_d1/N2(14)] ==> [\share0_in[50](14), \share1_in[18](14), \rand_bit_share0[10](14), \share0_in[50](13), \share1_in[18](13), \rand_bit_share0[10](13)] -log10(p) = 3.22959 --> OKAY

2.) Summary of the most leakging (and already active) probing sets: 

@[\u_and_G0_18_d1/N2(1)] ==> [\share0_in[50](1), \share1_in[18](1), \rand_bit_share0[10](1)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(2)] ==> [\share0_in[50](2), \share1_in[18](2), \rand_bit_share0[10](2), \share0_in[50](1), \share1_in[18](1), \rand_bit_share0[10](1)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(3)] ==> [\share0_in[50](3), \share1_in[18](3), \rand_bit_share0[10](3), \share0_in[50](2), \share1_in[18](2), \rand_bit_share0[10](2)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(4)] ==> [\share0_in[50](4), \share1_in[18](4), \rand_bit_share0[10](4), \share0_in[50](3), \share1_in[18](3), \rand_bit_share0[10](3)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(5)] ==> [\share0_in[50](5), \share1_in[18](5), \rand_bit_share0[10](5), \share0_in[50](4), \share1_in[18](4), \rand_bit_share0[10](4)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(6)] ==> [\share0_in[50](6), \share1_in[18](6), \rand_bit_share0[10](6), \share0_in[50](5), \share1_in[18](5), \rand_bit_share0[10](5)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(7)] ==> [\share0_in[50](7), \share1_in[18](7), \rand_bit_share0[10](7), \share0_in[50](6), \share1_in[18](6), \rand_bit_share0[10](6)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(8)] ==> [\share0_in[50](8), \share1_in[18](8), \rand_bit_share0[10](8), \share0_in[50](7), \share1_in[18](7), \rand_bit_share0[10](7)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(9)] ==> [\share0_in[50](9), \share1_in[18](9), \rand_bit_share0[10](9), \share0_in[50](8), \share1_in[18](8), \rand_bit_share0[10](8)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(10)] ==> [\share0_in[50](10), \share1_in[18](10), \rand_bit_share0[10](10), \share0_in[50](9), \share1_in[18](9), \rand_bit_share0[10](9)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(11)] ==> [\share0_in[50](11), \share1_in[18](11), \rand_bit_share0[10](11), \share0_in[50](10), \share1_in[18](10), \rand_bit_share0[10](10)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(12)] ==> [\share0_in[50](12), \share1_in[18](12), \rand_bit_share0[10](12), \share0_in[50](11), \share1_in[18](11), \rand_bit_share0[10](11)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(13)] ==> [\share0_in[50](13), \share1_in[18](13), \rand_bit_share0[10](13), \share0_in[50](12), \share1_in[18](12), \rand_bit_share0[10](12)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N2(14)] ==> [\share0_in[50](14), \share1_in[18](14), \rand_bit_share0[10](14), \share0_in[50](13), \share1_in[18](13), \rand_bit_share0[10](13)] -log10(p) = 3.22959 --> OKAY
@[\u_and_G0_18_d1/N1(1)] ==> [\share0_in[18](1), \share1_in[50](1), \rand_bit_share0[10](1)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(2)] ==> [\share0_in[18](2), \share1_in[50](2), \rand_bit_share0[10](2), \share0_in[18](1), \share1_in[50](1), \rand_bit_share0[10](1)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(3)] ==> [\share0_in[18](3), \share1_in[50](3), \rand_bit_share0[10](3), \share0_in[18](2), \share1_in[50](2), \rand_bit_share0[10](2)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(4)] ==> [\share0_in[18](4), \share1_in[50](4), \rand_bit_share0[10](4), \share0_in[18](3), \share1_in[50](3), \rand_bit_share0[10](3)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(5)] ==> [\share0_in[18](5), \share1_in[50](5), \rand_bit_share0[10](5), \share0_in[18](4), \share1_in[50](4), \rand_bit_share0[10](4)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(6)] ==> [\share0_in[18](6), \share1_in[50](6), \rand_bit_share0[10](6), \share0_in[18](5), \share1_in[50](5), \rand_bit_share0[10](5)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(7)] ==> [\share0_in[18](7), \share1_in[50](7), \rand_bit_share0[10](7), \share0_in[18](6), \share1_in[50](6), \rand_bit_share0[10](6)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(8)] ==> [\share0_in[18](8), \share1_in[50](8), \rand_bit_share0[10](8), \share0_in[18](7), \share1_in[50](7), \rand_bit_share0[10](7)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(9)] ==> [\share0_in[18](9), \share1_in[50](9), \rand_bit_share0[10](9), \share0_in[18](8), \share1_in[50](8), \rand_bit_share0[10](8)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(10)] ==> [\share0_in[18](10), \share1_in[50](10), \rand_bit_share0[10](10), \share0_in[18](9), \share1_in[50](9), \rand_bit_share0[10](9)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(11)] ==> [\share0_in[18](11), \share1_in[50](11), \rand_bit_share0[10](11), \share0_in[18](10), \share1_in[50](10), \rand_bit_share0[10](10)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(12)] ==> [\share0_in[18](12), \share1_in[50](12), \rand_bit_share0[10](12), \share0_in[18](11), \share1_in[50](11), \rand_bit_share0[10](11)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(13)] ==> [\share0_in[18](13), \share1_in[50](13), \rand_bit_share0[10](13), \share0_in[18](12), \share1_in[50](12), \rand_bit_share0[10](12)] -log10(p) = 2.54982 --> OKAY
@[\u_and_G0_18_d1/N1(14)] ==> [\share0_in[18](14), \share1_in[50](14), \rand_bit_share0[10](14), \share0_in[18](13), \share1_in[50](13), \rand_bit_share0[10](13)] -log10(p) = 2.54982 --> OKAY
@[\u_and_P1_11_d1/N0(1)] ==> [\share0_in[11](1), \share0_in[43](1), \share0_in[10](1), \share0_in[42](1)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(2)] ==> [\share0_in[11](2), \share0_in[43](2), \share0_in[10](2), \share0_in[42](2), \share0_in[11](1), \share0_in[43](1), \share0_in[10](1), \share0_in[42](1)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(3)] ==> [\share0_in[11](3), \share0_in[43](3), \share0_in[10](3), \share0_in[42](3), \share0_in[11](2), \share0_in[43](2), \share0_in[10](2), \share0_in[42](2)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(4)] ==> [\share0_in[11](4), \share0_in[43](4), \share0_in[10](4), \share0_in[42](4), \share0_in[11](3), \share0_in[43](3), \share0_in[10](3), \share0_in[42](3)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(5)] ==> [\share0_in[11](5), \share0_in[43](5), \share0_in[10](5), \share0_in[42](5), \share0_in[11](4), \share0_in[43](4), \share0_in[10](4), \share0_in[42](4)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(6)] ==> [\share0_in[11](6), \share0_in[43](6), \share0_in[10](6), \share0_in[42](6), \share0_in[11](5), \share0_in[43](5), \share0_in[10](5), \share0_in[42](5)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(7)] ==> [\share0_in[11](7), \share0_in[43](7), \share0_in[10](7), \share0_in[42](7), \share0_in[11](6), \share0_in[43](6), \share0_in[10](6), \share0_in[42](6)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(8)] ==> [\share0_in[11](8), \share0_in[43](8), \share0_in[10](8), \share0_in[42](8), \share0_in[11](7), \share0_in[43](7), \share0_in[10](7), \share0_in[42](7)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(9)] ==> [\share0_in[11](9), \share0_in[43](9), \share0_in[10](9), \share0_in[42](9), \share0_in[11](8), \share0_in[43](8), \share0_in[10](8), \share0_in[42](8)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(10)] ==> [\share0_in[11](10), \share0_in[43](10), \share0_in[10](10), \share0_in[42](10), \share0_in[11](9), \share0_in[43](9), \share0_in[10](9), \share0_in[42](9)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(11)] ==> [\share0_in[11](11), \share0_in[43](11), \share0_in[10](11), \share0_in[42](11), \share0_in[11](10), \share0_in[43](10), \share0_in[10](10), \share0_in[42](10)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(12)] ==> [\share0_in[11](12), \share0_in[43](12), \share0_in[10](12), \share0_in[42](12), \share0_in[11](11), \share0_in[43](11), \share0_in[10](11), \share0_in[42](11)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(13)] ==> [\share0_in[11](13), \share0_in[43](13), \share0_in[10](13), \share0_in[42](13), \share0_in[11](12), \share0_in[43](12), \share0_in[10](12), \share0_in[42](12)] -log10(p) = 2.47244 --> OKAY
@[\u_and_P1_11_d1/N0(14)] ==> [\share0_in[11](14), \share0_in[43](14), \share0_in[10](14), \share0_in[42](14), \share0_in[11](13), \share0_in[43](13), \share0_in[10](13), \share0_in[42](13)] -log10(p) = 2.47244 --> OKAY
@[\u_and_G0_18_d1/N3(1)] ==> [\share1_in[18](1), \share1_in[50](1)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(2)] ==> [\share1_in[18](2), \share1_in[50](2), \share1_in[18](1), \share1_in[50](1)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(3)] ==> [\share1_in[18](3), \share1_in[50](3), \share1_in[18](2), \share1_in[50](2)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(4)] ==> [\share1_in[18](4), \share1_in[50](4), \share1_in[18](3), \share1_in[50](3)] -log10(p) = 2.20388 --> OKAY
@[\u_and_G0_18_d1/N3(5)] ==> [\share1_in[18](5), \share1_in[50](5), \share1_in[18](4), \share1_in[50](4)] -log10(p) = 2.20388 --> OKAY
