Report file after 191000000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 1: @[\u_and_G0_23_d1/N1(1)] ==> [\share0_in[23](1), \share1_in[55](1), \rand_bit_share0[12](1)] -log10(p) = 2.41157 --> OKAY
Cycle 2: @[\u_and_G0_23_d1/N1(2)] ==> [\share0_in[23](2), \share1_in[55](2), \rand_bit_share0[12](2), \share0_in[23](1), \share1_in[55](1), \rand_bit_share0[12](1)] -log10(p) = 2.41157 --> OKAY
Cycle 3: @[\u_and_G0_23_d1/N1(3)] ==> [\share0_in[23](3), \share1_in[55](3), \rand_bit_share0[12](3), \share0_in[23](2), \share1_in[55](2), \rand_bit_share0[12](2)] -log10(p) = 2.41157 --> OKAY
Cycle 4: @[d3_G1_9_s1(4)] ==> [d3_G1_9_s1(4), d3_G1_9_s1(3)] -log10(p) = 2.55863 --> OKAY
Cycle 5: @[d3_G1_9_s1(5)] ==> [d3_G1_9_s1(5), d3_G1_9_s1(4)] -log10(p) = 2.55863 --> OKAY
Cycle 6: @[d3_G1_9_s1(6)] ==> [d3_G1_9_s1(6), d3_G1_9_s1(5)] -log10(p) = 2.55863 --> OKAY
Cycle 7: @[d3_G1_9_s1(7)] ==> [d3_G1_9_s1(7), d3_G1_9_s1(6)] -log10(p) = 2.55863 --> OKAY
Cycle 8: @[d3_G1_9_s1(8)] ==> [d3_G1_9_s1(8), d3_G1_9_s1(7)] -log10(p) = 2.55863 --> OKAY
Cycle 9: @[d3_G1_9_s1(9)] ==> [d3_G1_9_s1(9), d3_G1_9_s1(8)] -log10(p) = 2.55863 --> OKAY
Cycle 10: @[d3_G1_9_s1(10)] ==> [d3_G1_9_s1(10), d3_G1_9_s1(9)] -log10(p) = 2.55863 --> OKAY
Cycle 11: @[d3_G1_9_s1(11)] ==> [d3_G1_9_s1(11), d3_G1_9_s1(10)] -log10(p) = 2.55863 --> OKAY
Cycle 12: @[d3_G1_9_s1(12)] ==> [d3_G1_9_s1(12), d3_G1_9_s1(11)] -log10(p) = 2.55863 --> OKAY
Cycle 13: @[d3_G1_9_s1(13)] ==> [d3_G1_9_s1(13), d3_G1_9_s1(12)] -log10(p) = 2.55863 --> OKAY
Cycle 14: @[d3_G1_9_s1(14)] ==> [d3_G1_9_s1(14), d3_G1_9_s1(13)] -log10(p) = 2.55863 --> OKAY
Cycle 15: @[d3_G1_9_s1(15)] ==> [d3_G1_9_s1(15), d3_G1_9_s1(14)] -log10(p) = 2.55863 --> OKAY
Cycle 16: @[d3_G1_9_s1(16)] ==> [d3_G1_9_s1(16), d3_G1_9_s1(15)] -log10(p) = 2.55863 --> OKAY

2.) Summary of the most leakging (and already active) probing sets: 

@[d3_G1_9_s1(4)] ==> [d3_G1_9_s1(4), d3_G1_9_s1(3)] -log10(p) = 2.55863 --> OKAY
@[d3_G1_9_s1(5)] ==> [d3_G1_9_s1(5), d3_G1_9_s1(4)] -log10(p) = 2.55863 --> OKAY
@[d4_G1_9_s1(5)] ==> [d4_G1_9_s1(5), d4_G1_9_s1(4)] -log10(p) = 2.55863 --> OKAY
@[d3_G1_9_s1(6)] ==> [d3_G1_9_s1(6), d3_G1_9_s1(5)] -log10(p) = 2.55863 --> OKAY
@[d4_G1_9_s1(6)] ==> [d4_G1_9_s1(6), d4_G1_9_s1(5)] -log10(p) = 2.55863 --> OKAY
@[d3_G1_9_s1(7)] ==> [d3_G1_9_s1(7), d3_G1_9_s1(6)] -log10(p) = 2.55863 --> OKAY
@[d4_G1_9_s1(7)] ==> [d4_G1_9_s1(7), d4_G1_9_s1(6)] -log10(p) = 2.55863 --> OKAY
