Report file after 1000000 simulations:

1.) Summary of most leaking (and already active) probing sets per clock cycle: 

Cycle 1: @[d0_t0_26_s1(1)] ==> [\share1_in[26](1), \share1_in[58](1)] -log10(p) = 1.8044 --> OKAY
Cycle 2: @[d1_i3_s1(2)] ==> [d1_i3_s1(2), d1_i3_s1(1)] -log10(p) = 2.17261 --> OKAY
Cycle 3: @[d1_i3_s1(3)] ==> [d1_i3_s1(3), d1_i3_s1(2)] -log10(p) = 2.17261 --> OKAY
Cycle 4: @[d1_i3_s1(4)] ==> [d1_i3_s1(4), d1_i3_s1(3)] -log10(p) = 2.17261 --> OKAY
Cycle 5: @[d1_i3_s1(5)] ==> [d1_i3_s1(5), d1_i3_s1(4)] -log10(p) = 2.17261 --> OKAY
Cycle 6: @[d1_i3_s1(6)] ==> [d1_i3_s1(6), d1_i3_s1(5)] -log10(p) = 2.17261 --> OKAY
Cycle 7: @[d1_i3_s1(7)] ==> [d1_i3_s1(7), d1_i3_s1(6)] -log10(p) = 2.17261 --> OKAY
Cycle 8: @[d1_i3_s1(8)] ==> [d1_i3_s1(8), d1_i3_s1(7)] -log10(p) = 2.17261 --> OKAY
Cycle 9: @[d1_i3_s1(9)] ==> [d1_i3_s1(9), d1_i3_s1(8)] -log10(p) = 2.17261 --> OKAY
Cycle 10: @[d1_i3_s1(10)] ==> [d1_i3_s1(10), d1_i3_s1(9)] -log10(p) = 2.17261 --> OKAY
Cycle 11: @[d1_i3_s1(11)] ==> [d1_i3_s1(11), d1_i3_s1(10)] -log10(p) = 2.17261 --> OKAY
Cycle 12: @[d1_i3_s1(12)] ==> [d1_i3_s1(12), d1_i3_s1(11)] -log10(p) = 2.17261 --> OKAY
Cycle 13: @[d1_i3_s1(13)] ==> [d1_i3_s1(13), d1_i3_s1(12)] -log10(p) = 2.17261 --> OKAY
Cycle 14: @[d1_i3_s1(14)] ==> [d1_i3_s1(14), d1_i3_s1(13)] -log10(p) = 2.17261 --> OKAY
Cycle 15: @[d1_i3_s1(15)] ==> [d1_i3_s1(15), d1_i3_s1(14)] -log10(p) = 2.17261 --> OKAY
Cycle 16: @[d1_i3_s1(16)] ==> [d1_i3_s1(16), d1_i3_s1(15)] -log10(p) = 2.17261 --> OKAY
Cycle 17: @[d1_i3_s1(17)] ==> [d1_i3_s1(17), d1_i3_s1(16)] -log10(p) = 2.17261 --> OKAY
Cycle 18: @[d1_i3_s1(18)] ==> [d1_i3_s1(18), d1_i3_s1(17)] -log10(p) = 2.17261 --> OKAY
Cycle 19: @[d1_i3_s1(19)] ==> [d1_i3_s1(19), d1_i3_s1(18)] -log10(p) = 2.17261 --> OKAY
Cycle 20: @[d1_i3_s1(20)] ==> [d1_i3_s1(20), d1_i3_s1(19)] -log10(p) = 2.17261 --> OKAY
